1959	3
1960	4
1961	5
1962	1
1963	3
1964	1
1965	5
1966	1
1967	2
1968	2
1969	7
1970	4
1971	5
1972	6
1973	6
1974	6
1975	3
1976	7
1977	5
1978	8
1979	3
1980	4
1981	3
1982	3
1983	8
1984	6
1985	7
1986	9
1987	6
1988	5
